Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Quận 2,64 m²,1 phòng,37466904,04/12/2023,27/11/2023,Cơ bản.,Sổ đỏ/ Sổ hồng.,"333 Căn đặc biệt giá tốt 1pn 9tr có nội thất 10,5tr, 2PN full NT 11 - 12tr, 3PN 12tr có NT 13-14tr",9 triệu/tháng,1 phòng
Bình Thạnh,50 m²,1 phòng,38649320,04/12/2023,27/11/2023,,,Cho thuê căn hộ cao cấp luxury cao cấp - Nguyễn Gia Trí - Chu Văn An - Ung Văn Khiêm,"10,5 triệu/tháng",1 phòng
Quận 2,126 m²,3 phòng,38650167,04/12/2023,27/11/2023,Cơ bản,,Sarina 3PN nội thất cơ bản cần cho thuê,35 triệu/tháng,2 phòng
Tân Phú,92 m²,2 phòng,38055820,28/11/2023,18/11/2023,,Sổ đỏ/ Sổ hồng,Cho thuê chung cư cao cấp Diamond Celadon City tháng 10/2023 (Ruby Emerald 2pn 63m 10 tr),12 triệu/tháng,2 phòng
Quận 7,66 m²,2 phòng,35468444,04/12/2023,27/11/2023,,,Chỉ từ 7tr đã có thể sở hữu căn hộ chung cư cao cấp Q7 Riverside LH ,7 triệu/tháng,2 phòng
Quận 4,80 m²,2 phòng,29212983,28/11/2023,21/11/2023,Full nội thất.,,Chuyên quản lý cho thuê căn hộ cao cấp Grand Riverside Q4 1P-2P-3P-4PN giá 15tr đến 17tr/th,17 triệu/tháng,2 phòng
Nhà Bè,71 m²,,38650310,04/12/2023,27/11/2023,,,CHO THUÊ SUNRISE RIVERSIDE 2PN 2WC - 10.5 TRIỆU - GẤP . LIÊN HỆ PKD MS LAN ,"10,5 triệu/tháng",
Quận 2,93 m²,2 phòng,38599657,04/12/2023,27/11/2023,Cơ bản,,Căn hộ 2 phòng cho thuê giá 24 triệu/tháng văn phòng tại dự án hỗ trợ nhanh chóng ,24 triệu/tháng,2 phòng
Bình Thạnh,116 m²,3 phòng,36851056,09/12/2023,24/11/2023,"Nội thất cao cấp, mới 100%.",,Cho thuê căn hộ 3PN Vinhomes Central Park 116m2 nội thất cao cấp view sông giá tốt LH: ,27 triệu/tháng,2 phòng
Quận 2,73 m²,2 phòng,38598381,05/12/2023,20/11/2023,Hoàn thiện cơ bản.,,"Masterise Lumiere Riverside - full giỏ hàng mua bán, cho thuê căn hộ giá tốt nhất. LH: ",20 triệu/tháng,2 phòng
Quận 2,70 m²,2 phòng,38480550,04/12/2023,27/11/2023,,,"Lumiere Riverside 1PN, tầng đẹp view đẹp, sở hữu ngay chỉ từ 12triệu/th 2PN 20tr ",20 triệu/tháng,2 phòng
Nhà Bè,104 m²,3 phòng,38602622,28/11/2023,21/11/2023,,,"Cho thuê căn hộ 3PN tại Nhà Bè, thuộc Sài Gòn South Residences",18 triệu/tháng,2 phòng
Quận 7,50 m²,,38602278,28/11/2023,21/11/2023,,,"Cho Thuê CHCC Ecogreen Sài Gòn 1,2,3PN giá chỉ từ 12 triệu",12 triệu/tháng,
Quận 10,87 m²,2 phòng,36335364,28/11/2023,21/11/2023,,,Hệ thống chuyên cho thuê ngắn hạn & dài hạn Hà Đô Centrosa 1PN - 2PN - 3PN. Giá tốt nhất thị trường,18 triệu/tháng,
Quận 6,97 m²,2 phòng,38612796,29/11/2023,22/11/2023,,,"Cần cho thuê gấp CH chung cư Him Lam. 97m2, 2PN. Giá 10tr/th. ",10 triệu/tháng,2 phòng
Quận 2,70 m²,2 phòng,36445672,08/12/2023,23/11/2023,Đầy đủ.,,"Masteri Thảo Điền cho thuê cam kết giá thật 100% 2PN 2WC (15tr), xem nhà 24/7 LH E ",16 triệu/tháng,2 phòng
Quận 10,78 m²,2 phòng,37462645,01/12/2023,24/11/2023,Cơ bản,,"Cho thuê Kingdom 101, 1-2-3PN  NTCB 15 triệu- full từ 16 triệu/tháng ( 2PN NTCB 17tr- full từ 19tr",17 triệu/tháng,2 phòng
Quận 9,56 m²,,37955722,05/12/2023,25/11/2023,,,"Cho thuê căn hộ liền kề Q2, từ 5tr/tháng",5 triệu/tháng,
Quận 9,47 m²,1 phòng,38611767,02/12/2023,22/11/2023,Cơ bản,,"Vinhomes Grand Park Q9 - cần cho thuê căn studio, 1PN, 2PN, 3PN (bếp rèm) giá rẻ nhất TT 5 triệu",5 triệu/tháng,1 phòng
Quận 10,78 m²,2 phòng,38162766,30/11/2023,23/11/2023,,,"Cần cho thuê lắm căn hộ kingdom 101, Q10, 78m2, 2pn giá: 16tr, lh: ",16 triệu/tháng,2 phòng
Quận 7,67 m²,2 phòng,35613881,01/12/2023,24/11/2023,"Rèm, máy lạnh, máy nước nóng",,"Cho thuê căn hộ Q7 Riverside giá từ 7.5tr, nội thất cơ bản, view sông siêu đẹp, LH em ","7,5 triệu/tháng",2 phòng
Quận 12,52 m²,2 phòng,38647897,04/12/2023,27/11/2023,Không nội thất.,,Cho thuê căn hộ Prosper Plaza 2PN - Nhà trống - Vào ở ngay 6.5 tr/tháng,"6,5 triệu/tháng",2 phòng
Bình Thạnh,75 m²,2 phòng,38491808,10/12/2023,25/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,(Có hợp tác MG) - chuyển lại HĐ thuê căn hộ 2PN Vinhomes Central Park,19 triệu/tháng,2 phòng
Quận 7,48 m²,1 phòng,34146214,06/12/2023,21/11/2023,Nhà trống.,,"Cho thuê căn hộ 1 - 3PN giá rẻ tại chung cư The Era Town, Q7 - LH Ms Hậu ","6,5 triệu/tháng",1 phòng
Bình Thạnh,18 m²,1 phòng,38609111,28/11/2023,21/11/2023,Đầy đủ,,"CHDV Studio khu Vạn Kiếp - Phan Đăng Lưu - Phan Xích Long, có bảo vệ 24/24, thang máy, PCCC, hầm xe",7 triệu/tháng,1 phòng
Quận 2,47 m²,1 phòng,38639764,06/12/2023,26/11/2023,Đầy đủ,,"Metropole: Cho thuê 86 căn hộ Galleria & Crest từ 1-2-3-4PN, Penthouse giá tốt nhất tháng 12/2023",24 triệu/tháng,1 phòng
Quận 7,91 m²,2 phòng,38605217,28/11/2023,21/11/2023,Đầy đủ,,Cho thuê căn hộ chung cư Midtown - 2 phòng ngủ - full nội thất - view villa - giá tốt,24 triệu/tháng,2 phòng
Quận 4,30 m²,1 phòng,38607210,06/12/2023,21/11/2023,Cơ bản,,Chuyên cho thuê De La Sol studio - 1 - 2 - 3PN nhà vừa mới bàn giao - từ 11 triệu ở ngay được,11 triệu/tháng,1 phòng
Quận 2,71 m²,2 phòng,38599949,28/11/2023,21/11/2023,Đầy đủ,,"Cho thuê căn hộ 2PN, 2WC block LC chung cư Lexington","15,5 triệu/tháng",2 phòng
Quận 12,54 m²,2 phòng,32068312,28/11/2023,21/11/2023,Đầy đủ,,Cho thuê căn hộ Prosper Plaza 2PN nhà trống và nội thất giá chỉ từ 6.5tr/th,"6,5 triệu/tháng",2 phòng
Quận 2,78 m²,2 phòng,38461181,03/12/2023,26/11/2023,,,"Chính chủ cho thuê Lumiere Riverside Q2 2PN, cao cấp chỉ 22 triệu/tháng. Call: ",22 triệu/tháng,2 phòng
Bình Thạnh,90 m²,2 phòng,36302761,10/12/2023,25/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"Cho thuê giá tốt nhất Vinhomes Central Park 1-2-3-4PN, penthouse và toà Landmark 81. LH: ",18 triệu/tháng,2 phòng
Bình Thạnh,57 m²,1 phòng,35048592,10/12/2023,25/11/2023,Nội thất đầy đủ,Sổ đỏ/ Sổ hồng,"Chuyên cho thuê Vinhomes Central Park và Landmark81 giá tốt 1PN=15tr, 2PN=18tr, 3PN=26tr",16 triệu/tháng,1 phòng
Quận 2,"68,5 m²",2 phòng,32264610,28/11/2023,21/11/2023,,Sổ đỏ/ Sổ hồng,(Qúy cuối năm) Cho thuê 500 căn D'Lusso NTCB/Full NT 1PN 9-10tr/ 2PN 10-12tr/ 3PN 13tr ,"10,5 triệu/tháng",2 phòng
Quận 3,72 m²,2 phòng,37124796,02/12/2023,25/11/2023,Đầy đủ,Hợp đồng mua bán,"Căn hộ Tera Yoral Quận 3: 2PN - 3PN, cho thuê giá từ 16tr - 19tr tùy nội thất: ",16 triệu/tháng,2 phòng
Bình Thạnh,40 m²,1 phòng,38648234,04/12/2023,27/11/2023,,,Căn Hộ cao cấp studio full nt ban công lớn thoáng máy hầm xe ngay chợ cây Quéo,"7,3 triệu/tháng",
Tân Bình,70 m²,2 phòng,38549637,28/11/2023,21/11/2023,,,"Cho thuê gấp CH Botanica Premier 70m2 2PN giá rẻ 15 triệu có suất ô tô, ",15 triệu/tháng,2 phòng
Nhà Bè,70 m²,2 phòng,27084547,04/12/2023,27/11/2023,Cơ bản,,"Chính chủ cho thuê nhiều CH Riverside 2PN 11tr-14tr/th,3PN 16-18tr/th xem nhà 24/24. Gọi ",11 triệu/tháng,2 phòng
Nhà Bè,70 m²,2 phòng,36992110,28/11/2023,21/11/2023,,Sổ đỏ/ Sổ hồng,PKD ,11 triệu/tháng,2 phòng
Quận 4,80 m²,2 phòng,37631814,28/11/2023,21/11/2023,,Sổ đỏ/ Sổ hồng,Cho thuê căn hộ Riva Park NTT Quận 4 đẹp giá rẻ,12 triệu/tháng,2 phòng
Quận 2,127 m²,3 phòng,38646654,04/12/2023,27/11/2023,,,"Hơn 200 căn hộ cho thuê tại Empire City - nhà sang view đẹp giá chỉ từ 18 triệu (1PN - 4PN, Duplex)",41 triệu/tháng,2 phòng
Quận 7,73 m²,2 phòng,32416657,29/11/2023,19/11/2023,Tủ và bếp âm tường,,"Quản lý cho thuê 100% căn hộ Hoàng Anh Thanh Bình - Quận 7, giá thuê chỉ 10tr/th, Hoàng ",10 triệu/tháng,2 phòng
Quận 2,75 m²,2 phòng,38320374,28/11/2023,21/11/2023,,,"Nhận cọc chuyên cho thuê Lumiere Riverside 1PN 13tr, 2pn từ 20tr LH ",20 triệu/tháng,2 phòng
Quận 4,55 m²,1 phòng,38604640,28/11/2023,21/11/2023,Đầy đủ,,Cho thuê nhà chung cư Grand Riverside 55m2,15 triệu/tháng,1 phòng
Bình Thạnh,92 m²,2 phòng,18556238,06/12/2023,21/11/2023,Full nội thất.,,"Chuyên cho thuê CH Vinhomes Central Park, căn 1, 2, 3, 4PN giá tốt nhất. LH Thu Phương ","16,8 triệu/tháng",2 phòng
Quận 2,88 m²,2 phòng,34362852,03/12/2023,18/11/2023,,,"Giỏ hàng căn hộ Sadora cho thuê, giá tốt nhất Thủ Thiêm, chỉ từ 21tr/tháng. Liên hệ ",Thỏa thuận,2 phòng
Quận 4,100 m²,3 phòng,38596320,05/12/2023,20/11/2023,Full.,,3PN Gold View chỉ 24tr ở ngay full nội thất đẹp duy nhất 1 căn - LH hotline có pass xem nhà ngay,24 triệu/tháng,2 phòng
Quận 2,75 m²,2 phòng,38582357,03/12/2023,26/11/2023,Đầy đủ nội thất cơ bản,,MR HIẾU-QUẢN LÝ CHO THUÊ CĂN HỘ LUMIERE(1PN-20TR)(2PN-24TR)(3PN-35TR) MIỄN PHÍ QUẢN LÝ XEM NHÀ NGAY,24 triệu/tháng,2 phòng
BÃ¬nh Tháº¡nh,,,,,,,,"PKD Vinhomes cho thuÃª giá»� cÄƒn 1PN, 2PN, 3PN, 4PN,L81 Ä‘á»™c quyá»�n, giÃ¡ tá»‘t nháº¥t T11/2023 Lh ",,
Quáº­n 7,,,,,,,,Cho thuÃª cÄƒn há»™ 2PN 1WC diá»‡n tÃ­ch 65m2 dá»± Ã¡n Eco Green SÃ i GÃ²n,,
Tân Bình,75 m²,2 phòng,38489744,28/11/2023,21/11/2023,Đầy đủ,Hợp đồng mua bán,"Park Legend giáp Phú Nhuận: 1PN = 12tr, 2PN = 14tr, 3PN = 15tr nhà trống, có nội thất thêm 2 - 3tr",14 triệu/tháng,3 phòng
Tân Bình,25 m²,1 phòng,38599982,30/11/2023,20/11/2023,Đầy đủ,,"(Chính chủ) cho thuê CH ban công mới 100% ngay ngã tư Bảy Hiền, gần ĐH Bách Khoa, ĐH Văn Hiến","5,4 triệu/tháng",1 phòng
Quận 7,99 m²,2 phòng,34431823,30/11/2023,20/11/2023,Full nội thất cao cấp,,Cho thuê căn hộ Sunrise City city view giá 1 2 3 4pn penthouse (1pn 12tr) (2pn 15tr) (3pn 20tr),Thỏa thuận,3 phòng
Quận 2,170 m²,4 phòng,38600056,27/11/2023,20/11/2023,Cơ bản,,4PN giá cho thuê tốt nhất thị trường tại The Metropole Thu Thiem,75 triệu/tháng,3 phòng
Quận 7,67 m²,2 phòng,38598335,28/11/2023,21/11/2023,Cơ bản,,"Chính chủ cho thuê căn 2PN, 2WC 67m2 nội thất cơ bản. Giá 9,5tr/tháng. Giá thật, chủ thật","9,5 triệu/tháng",2 phòng
Quận 1,85 m²,2 phòng,34270339,06/12/2023,21/11/2023,,,ĐỪNG BỎ QUA TIN NÀY NẾU BẠN ĐANG MUỐN THUÊ CĂN HỘ VINHOME GOLDEN RIVER BA SON. LH: ,18 triệu/tháng,2 phòng
Quận 2,77 m²,2 phòng,38580689,01/12/2023,24/11/2023,,,"Rổ hàng Lumiere Riverside 1PN - 2PN - 3PN - 4PN, view thành phố, nhận nhà ngay. LH: ",23 triệu/tháng,2 phòng
Quận 7,72 m²,2 phòng,35670559,02/12/2023,17/11/2023,"Full nội thất cao cấp mới 100% máy lạnh, bếp, máy nước nóng, tủ đồ âm tường.",,"Chuyên quản lý cho thuê căn hộ Eco Green SG Q7, 2PN 72m2 giá 12tr/th, xem nhà 24/7 LH ",12 triệu/tháng,2 phòng
Thủ Đức,68 m²,2 phòng,29880081,28/11/2023,21/11/2023,,Có sổ.,"Căn hộ Lavita Charm cho thuê đầy đủ loại diện tích đã Decor nội thất chưa ở, bao PQL, LH ",8 triệu/tháng,2 phòng
Quận 7,53 m²,2 phòng,36238954,01/12/2023,24/11/2023,"Nội thất cơ bản, hoặc ful nội thất",,Chuyên cho thuê căn hộ Q7 Riverside giá rẻ nhất thị trường hỗ trợ xem nhà 24/7 LH ,7 triệu/tháng,1 phòng
Bình Thạnh,80 m²,2 phòng,37013231,03/12/2023,18/11/2023,,,Chuyên cho thuê căn hộ The Landmark 81ngắn hạn và dài hạn tốt nhất thị trường. LH: ,19 triệu/tháng,2 phòng
Quận 7,53 m²,1 phòng,35527958,01/12/2023,24/11/2023,"Có sẵn bếp, hút mùi, tủ bếp trên dưới...",,"Giỏ hàng CĐT tại Q7 Riverside 1PN 7tr, 2PN 8.5tr, 3PN 10tr, shophouse 20tr LH ",7 triệu/tháng,1 phòng
Quận 7,76 m²,2 phòng,36886002,30/11/2023,20/11/2023,Đây đủ nội thất,Đã có sổ,"Chính chủ cho thuê căn hộ Sunrise City, có sẵn nhiều căn trống 1PN, 2PN, 3PN vào ở ngay",17 triệu/tháng,2 phòng
Bình Chánh,60 m²,2 phòng,38606364,28/11/2023,21/11/2023,Không nội thất,,Cho thuê căn hộ Mizuki Park 2PN từ 60 - 72m2 nhiều tiện ích,9 triệu/tháng,1 phòng
Quận 2,85 m²,2 phòng,38479015,03/12/2023,18/11/2023,Đầy đủ,,Chuyên cho thuê Feliz En Vista đa dạng căn hộ 1PN - 2PN - 3PN - 4PN - Duplex mới nhất T11/2023,19 triệu/tháng,2 phòng
Quận 2,72 m²,2 phòng,12058941,30/11/2023,23/11/2023,Hoàn thiện full nội thất.,Đã có sổ.,"Chuyên cho thuê căn hộ cao cấp Masteri Thảo Điền từ 1PN - 2PN đến 4PN, giá tốt nhất LH ",15 triệu/tháng,2 phòng
Bình Tân,75 m²,2 phòng,38603222,28/11/2023,21/11/2023,Đầy đủ,,Cho thuê 75m2 - 2PN/2WC có nội thất đẹp giá chỉ 9tr,9 triệu/tháng,2 phòng
Quận 2,50 m²,1 phòng,37894584,28/11/2023,18/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,Cập nhật giỏ hàng tháng 11 - 12 cho thuê căn hộ Quận 2 Masteri Thảo Điền 1-2-3-4PN. Giá tốt 14tr/th,14 triệu/tháng,1 phòng
Quận 10,78 m²,2 phòng,38409800,28/11/2023,21/11/2023,Đầy đủ,Hợp đồng mua bán,Cho thuê chung cư cao cấp Rivera Q. 10 ngay đường Thành Thái. Căn góc 78m2/2 view nhìn rất thoáng,18 triệu/tháng,2 phòng
Quận 3,58 m²,2 phòng,38497832,28/11/2023,18/11/2023,,,"Đừng bỏ qua tin này này nếu bạn đang muốn thuê Terra Royal, 1P, 2P, 3P: Chỉ 11.5tr(giá tốt nhất)","11,5 triệu/tháng",1 phòng
Bình Thạnh,54 m²,1 phòng,37985238,07/12/2023,22/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"Cho thuê căn hộ Vinhomes Central Park giá tốt nhất 1PN=16tr, 2PN=19tr, 3PN=26tr, 4PN=50tr",16 triệu/tháng,1 phòng
Quận 6,50 m²,2 phòng,37394178,01/12/2023,24/11/2023,Cơ bản,Hợp đồng mua bán,Cho thuê CH Western Capital(nhà mới ở liền) 7tr/2PN/50m2; 9tr/2PN/70m2; 10tr/3PN(rèm + miễn PQL),7 triệu/tháng,1 phòng
Phú Nhuận,75 m²,2 phòng,37806515,02/12/2023,25/11/2023,,,"Cần cho thuê gấp, giá quá rẻ Kingston, Phú Nhuận, (1P - 2P - 3P) chỉ 13.5tr/th. LH: ","13,5 triệu/tháng",2 phòng
Bình Thạnh,85 m²,2 phòng,36666752,29/11/2023,22/11/2023,Full nội thất.,,"Cho thuê gấp Saigon Pearl 2PN chỉ từ 16,5tr/tháng, 3PN giá 21tr/tháng, 4PN 33tr cam kết giá thật",17 triệu/tháng,2 phòng
Quận 7,80 m²,2 phòng,38553100,28/11/2023,21/11/2023,,,"Cần cho thuê nhanh Midtown 2PN, giá hót chỉ 18 triệu/tháng key sẵn xem nhanh 24/7",18 triệu/tháng,2 phòng
Quận 2,96 m²,,38613719,02/12/2023,22/11/2023,,,"Chính chủ cần cho thuê căn hộ 3PN tại Masteri Thảo Điền, Q2 - view tầng cao, thoáng, giá tốt",36 triệu/tháng,
Quận 2,53 m²,1 phòng,33889239,30/11/2023,23/11/2023,Hoàn thiện cơ bản có gắn máy lạnh và rèm.,,"(Mới) giỏ hàng D'Lusso 1pn 9tr, 2pn 10tr, 3pn 13tr, được chọn hướng view, LH xem nhà ",9 triệu/tháng,1 phòng
Quận 10,107 m²,3 phòng,37734857,03/12/2023,23/11/2023,,,"Cho thuê căn hộ Hà Đô 1 - 2 - 3 phòng ngủ Centrosa Quận 10, giá tốt - nhà xinh - có suất ô tô",Thỏa thuận,2 phòng
Bình Chánh,76 m²,2 phòng,38029113,07/12/2023,27/11/2023,,,Ban quản lý Sài Gòn Mia cho thuê 1PN 2PN 3PN 12tr - 14tr/th full nội thất LH BQL ,12 triệu/tháng,2 phòng
Phú Nhuận,75 m²,2 phòng,38595750,04/12/2023,27/11/2023,,,"Cho thuê gấp căn hộ chung cư Kingston 75m2,2PN. Giá: 16tr/th. ",16 triệu/tháng,2 phòng
Bình Thạnh,136 m²,3 phòng,38300141,30/11/2023,23/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"Cho thuê 3 phòng ngũ Saigon Pearl, 2 phòng ngủ giá 17 triệu/ tháng, 3 phòng ngủ giá 25 triệu/tháng",25 triệu/tháng,2 phòng
Quận 2,64 m²,1 phòng,38448782,07/12/2023,27/11/2023,Đầy đủ,Đang chờ sổ,"Cho thuê căn hộ Empire City, 1PN, full nội thất tầng cao siêu đẹp",28 triệu/tháng,1 phòng
